Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
SIEMENS AG                    N,SIE,SIE.DE,Industrials,Germany,GER,138316136448.0
DEUTSCHE TELEKOM AG           N,DTE,DTE.DE,Communication Services,Germany,GER,153530466304.0
SCHNEIDER ELECTRIC SE,SU,SU.PA,Industrials,France,PAR,112072933376.0
AIRBUS SE,AIR,AIR.PA,Industrials,Netherlands,PAR,115952091136.0
SANOFI,SAN,SAN.PA,Healthcare,France,PAR,115951763456.0
TOTALENERGIES,TTE,TTE.PA,Energy,France,PAR,119101308928.0
Allianz SE                    v,ALV,ALV.DE,Financial Services,Germany,GER,121950404608.0
ESSILORLUXOTTICA,EL,EL.PA,Healthcare,France,PAR,108481552384.0
SAFRAN,SAF,SAF.PA,Industrials,France,PAR,89328082944.0
AIR LIQUIDE,AI,AI.PA,Basic Materials,France,PAR,93192003584.0
AB INBEV,ABI,ABI.BR,Consumer Defensive,Belgium,BRU,107933851648.0
ACCIONES IBERDROLA,IBE,IBE.MC,Utilities,Spain,MCE,89670746112.0
AXA,CS,CS.PA,Financial Services,France,PAR,80955645952.0
INTESA SANPAOLO,ISP,ISP.MI,Financial Services,Italy,MIL,74799661056.0
FERRARI,RACE,RACE.MI,Consumer Cyclical,Italy,MIL,65290743808.0
BNP PARIBAS ACT.A,BNP,BNP.PA,Financial Services,France,PAR,80132366336.0
MUENCHENER RUECKVERS.-GES. AG V,MUV2,MUV2.DE,Financial Services,Germany,GER,68304838656.0
UNICREDIT,UCG,UCG.MI,Financial Services,Italy,MIL,73469747200.0
ENEL,ENEL,ENEL.MI,Utilities,Italy,MIL,73056903168.0
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA,BBVA.MC,Financial Services,Spain,MCE,62229061632.0
VINCI,DG,DG.PA,Industrials,France,PAR,62872453120.0
Mercedes-Benz Group AG        N,MBG,MBG.DE,Consumer Cyclical,Germany,GER,47225626624.0
VOLKSWAGEN AG                 V,VOW3,VOW3.DE,Consumer Cyclical,Germany,GER,43643523072.0
BAYERISCHE MOTOREN WERKE AG   S,BMW,BMW.DE,Consumer Cyclical,Germany,GER,41512591360.0
adidas AG                     N,ADS,ADS.DE,Consumer Cyclical,Germany,GER,33272606720.0
SAINT GOBAIN,SGO,SGO.PA,Industrials,France,PAR,42449297408.0
DEUTSCHE BOERSE AG            N,DB1,DB1.DE,Financial Services,Germany,GER,45485056000.0
DANONE,BN,BN.PA,Consumer Defensive,France,PAR,45073489920.0
INFINEON TECHNOLOGIES AG      N,IFX,IFX.DE,Technology,Germany,GER,32621910016.0
BASF SE                       N,BAS,BAS.DE,Basic Materials,Germany,GER,36316717056.0
ENI,ENI,ENI.MI,Energy,Italy,MIL,38544171008.0
DEUTSCHE POST AG              N,DHL,DHL.DE,Industrials,Germany,GER,38828912640.0
Nordea Bank Abp,NDA-SE,NDA-SE.ST,Financial Services,Finland,STO,390691782656.0
STELLANTIS NV,STLAP,STLAP.PA,Consumer Cyclical,Netherlands,PAR,25460066304.0
KERING,KER,KER.PA,Consumer Cyclical,France,PAR,20912826368.0
PERNOD RICARD,RI,RI.PA,Consumer Defensive,France,PAR,22255312896.0
Nokia Corporation,NOKIA,NOKIA.HE,Technology,Finland,HEL,22866151424.0
Bayer AG                      N,BAYN,BAYN.DE,Healthcare,Germany,GER,19483432960.0
ABB Ltd,ABB,ABB.ST,Industrials,Switzerland,STO,842391093248.0
Investor AB ser. B,INVE-B,INVE-B.ST,Financial Services,Sweden,STO,791638638592.0
Atlas Copco AB ser. A,ATCO-A,ATCO-A.ST,Industrials,Sweden,STO,645010096128.0
Atlas Copco AB ser. B,ATCO-B,ATCO-B.ST,Industrials,Sweden,STO,641255211008.0
