Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
CVS Health Corporation,CVS,CVS,Healthcare,United States,NYQ,82897600512.0
GE Vernova Inc.,GEV,GEV,Utilities,United States,NYQ,82836512768.0
Arthur J. Gallagher & Co.,AJG,AJG,Financial Services,United States,NYQ,82229895168.0
"Equinix, Inc.",EQIX,EQIX,Real Estate,United States,NMS,81170022400.0
McKesson Corporation,MCK,MCK,Healthcare,United States,NYQ,80671096832.0
3M Company,MMM,MMM,Industrials,United States,NYQ,79317688320.0
Moody's Corporation,MCO,MCO,Financial Services,United States,NYQ,78755397632.0
"HCA Healthcare, Inc.",HCA,HCA,Healthcare,United States,NYQ,78175584256.0
Parker-Hannifin Corporation,PH,PH,Industrials,United States,NYQ,76183814144.0
Trane Technologies plc,TT,TT,Industrials,Ireland,NYQ,76012224512.0
Amphenol Corporation,APH,APH,Technology,United States,NYQ,74626744320.0
Transdigm Group Incorporated,TDG,TDG,Industrials,United States,NYQ,74604855296.0
"Apollo Global Management, Inc. ",APO,APO,Financial Services,United States,NYQ,74299318272.0
Illinois Tool Works Inc.,ITW,ITW,Industrials,United States,NYQ,73483591680.0
Colgate-Palmolive Company,CL,CL,Consumer Defensive,United States,NYQ,73460236288.0
Zoetis Inc.,ZTS,ZTS,Healthcare,United States,NYQ,71673585664.0
"Republic Services, Inc.",RSG,RSG,Industrials,United States,NYQ,71600701440.0
Ecolab Inc.,ECL,ECL,Basic Materials,United States,NYQ,71063371776.0
Northrop Grumman Corporation,NOC,NOC,Industrials,United States,NYQ,71015841792.0
General Dynamics Corporation,GD,GD,Industrials,United States,NYQ,70604873728.0
"Motorola Solutions, Inc.",MSI,MSI,Technology,United States,NYQ,69131943936.0
"Williams Companies, Inc. (The)",WMB,WMB,Energy,United States,NYQ,68504207360.0
"EOG Resources, Inc.",EOG,EOG,Energy,United States,NYQ,67074899968.0
"PNC Financial Services Group, I",PNC,PNC,Financial Services,United States,NYQ,66818433024.0
"Chipotle Mexican Grill, Inc.",CMG,CMG,Consumer Cyclical,United States,NYQ,66045718528.0
"Air Products and Chemicals, Inc",APD,APD,Basic Materials,United States,NYQ,65152098304.0
Dell Technologies Inc.,DELL,DELL,Technology,United States,NYQ,64502829056.0
"Becton, Dickinson and Company",BDX,BDX,Healthcare,United States,NYQ,63970807808.0
U.S. Bancorp,USB,USB,Financial Services,United States,NYQ,63753764864.0
Capital One Financial Corporati,COF,COF,Financial Services,United States,NYQ,63346204672.0
Emerson Electric Company,EMR,EMR,Industrials,United States,NYQ,61577883648.0
"AutoZone, Inc.",AZO,AZO,Consumer Cyclical,United States,NYQ,59378999296.0
"Kinder Morgan, Inc.",KMI,KMI,Energy,United States,NYQ,58970820608.0
"ONEOK, Inc.",OKE,OKE,Energy,United States,NYQ,58375786496.0
FedEx Corporation,FDX,FDX,Industrials,United States,NYQ,58040274944.0
"The Travelers Companies, Inc.",TRV,TRV,Financial Services,United States,NYQ,58028511232.0
AFLAC Incorporated,AFL,AFL,Financial Services,United States,NYQ,57446400000.0
The Bank of New York Mellon Cor,BK,BK,Financial Services,United States,NYQ,57193811968.0
Royal Caribbean Cruises Ltd.,RCL,RCL,Consumer Cyclical,United States,NYQ,55951917056.0
Carrier Global Corporation,CARR,CARR,Industrials,United States,NYQ,55511228416.0
Schlumberger N.V.,SLB,SLB,Energy,United States,NYQ,54299209728.0
"Freeport-McMoRan, Inc.",FCX,FCX,Basic Materials,United States,NYQ,54005092352.0
Allstate Corporation (The),ALL,ALL,Financial Services,United States,NYQ,53535252480.0
Hilton Worldwide Holdings Inc.,HLT,HLT,Consumer Cyclical,United States,NYQ,53359599616.0
"MetLife, Inc.",MET,MET,Financial Services,United States,NYQ,52931416064.0
"Simon Property Group, Inc.",SPG,SPG,Real Estate,United States,NYQ,60130021376.0
Norfolk Southern Corporation,NSC,NSC,Industrials,United States,NYQ,51556757504.0
Truist Financial Corporation,TFC,TFC,Financial Services,United States,NYQ,51535216640.0
Newmont Corporation,NEM,NEM,Basic Materials,United States,NYQ,51441160192.0
Public Storage,PSA,PSA,Real Estate,United States,NYQ,51377594368.0
Johnson Controls International ,JCI,JCI,Industrials,Ireland,NYQ,51134365696.0
Phillips 66,PSX,PSX,Energy,United States,NYQ,49943003136.0
Realty Income Corporation,O,O,Real Estate,United States,NYQ,49800085504.0
Howmet Aerospace Inc.,HWM,HWM,Industrials,United States,NYQ,49724674048.0
"Cencora, Inc.",COR,COR,Healthcare,United States,NYQ,49592463360.0
"Digital Realty Trust, Inc.",DLR,DLR,Real Estate,United States,NYQ,50025168896.0
"American International Group, I",AIG,AIG,Financial Services,United States,NYQ,48386306048.0
Kroger Company (The),KR,KR,Consumer Defensive,United States,NYQ,43493797888.0
Target Corporation,TGT,TGT,Consumer Defensive,United States,NYQ,47607693312.0
"Ameriprise Financial, Inc.",AMP,AMP,Financial Services,United States,NYQ,47366438912.0
General Motors Company,GM,GM,Consumer Cyclical,United States,NYQ,46874542080.0
Kimberly-Clark Corporation,KMB,KMB,Consumer Defensive,United States,NYQ,46477709312.0
"Dominion Energy, Inc.",D,D,Utilities,United States,NYQ,46087385088.0
"W.W. Grainger, Inc.",GWW,GWW,Industrials,United States,NYQ,45933355008.0
Hess Corporation,HES,HES,Energy,United States,NYQ,44369383424.0
Kenvue Inc.,KVUE,KVUE,Consumer Defensive,United States,NYQ,44302540800.0
DBA Sempra,SRE,SRE,Utilities,United States,NYQ,44201357312.0
Cummins Inc.,CMI,CMI,Industrials,United States,NYQ,43020554240.0
"Yum! Brands, Inc.",YUM,YUM,Consumer Cyclical,United States,NYQ,42819829760.0
Marathon Petroleum Corporation,MPC,MPC,Energy,United States,NYQ,42829164544.0
Occidental Petroleum Corporatio,OXY,OXY,Energy,United States,NYQ,42685550592.0
Fair Isaac Corporation,FICO,FICO,Technology,United States,NYQ,42616999936.0
TE Connectivity plc,TEL,TEL,Technology,Ireland,NYQ,42133409792.0
MSCI Inc.,MSCI,MSCI,Financial Services,United States,NYQ,42018164736.0
"Nasdaq, Inc.",NDAQ,NDAQ,Financial Services,United States,NMS,41508216832.0
Crown Castle Inc.,CCI,CCI,Real Estate,United States,NYQ,41325924352.0
Garmin Ltd.,GRMN,GRMN,Technology,Switzerland,NYQ,40283623424.0
"Corteva, Inc.",CTVA,CTVA,Basic Materials,United States,NYQ,40166723584.0
Vistra Corp.,VST,VST,Utilities,United States,NYQ,39997751296.0
Discover Financial Services,DFS,DFS,Financial Services,United States,NYQ,40063062016.0
Edwards Lifesciences Corporatio,EW,EW,Healthcare,United States,NYQ,39947804672.0
"AMETEK, Inc.",AME,AME,Industrials,United States,NYQ,39898464256.0
"Targa Resources, Inc.",TRGP,TRGP,Energy,United States,NYQ,39883046912.0
"L3Harris Technologies, Inc.",LHX,LHX,Industrials,United States,NYQ,39641862144.0
Public Service Enterprise Group,PEG,PEG,Utilities,United States,NYQ,39755251712.0
Valero Energy Corporation,VLO,VLO,Energy,United States,NYQ,39624232960.0
Otis Worldwide Corporation,OTIS,OTIS,Industrials,United States,NYQ,39497256960.0
"D.R. Horton, Inc.",DHI,DHI,Consumer Cyclical,United States,NYQ,40196665344.0
Corning Incorporated,GLW,GLW,Technology,United States,NYQ,39059316736.0
"United Rentals, Inc.",URI,URI,Industrials,United States,NYQ,38803517440.0
Ford Motor Company,F,F,Consumer Cyclical,United States,NYQ,37771677696.0
"Prudential Financial, Inc.",PRU,PRU,Financial Services,United States,NYQ,37184159744.0
"Quanta Services, Inc.",PWR,PWR,Industrials,United States,NYQ,37092474880.0
Fidelity National Information S,FIS,FIS,Technology,United States,NYQ,36946018304.0
"Consolidated Edison, Inc.",ED,ED,Utilities,United States,NYQ,36920737792.0
CBRE Group Inc,CBRE,CBRE,Real Estate,United States,NYQ,36541505536.0
Pacific Gas & Electric Co.,PCG,PCG,Utilities,United States,NYQ,35974713344.0
Entergy Corporation,ETR,ETR,Utilities,United States,NYQ,35655409664.0
Sysco Corporation,SYY,SYY,Consumer Defensive,United States,NYQ,35547455488.0
The Hershey Company,HSY,HSY,Consumer Defensive,United States,NYQ,34802548736.0
"Gartner, Inc.",IT,IT,Technology,United States,NYQ,34726436864.0
Arch Capital Group Ltd.,ACGL,ACGL,Financial Services,Bermuda,NMS,33936027648.0
"Brown & Brown, Inc.",BRO,BRO,Financial Services,United States,NYQ,33699946496.0
"Agilent Technologies, Inc.",A,A,Healthcare,United States,NYQ,33451137024.0
VICI Properties Inc.,VICI,VICI,Real Estate,United States,NYQ,33327525888.0
"The Hartford Insurance Group, I",HIG,HIG,Financial Services,United States,NYQ,33247586304.0
"WEC Energy Group, Inc.",WEC,WEC,Utilities,United States,NYQ,33398913024.0
"General Mills, Inc.",GIS,GIS,Consumer Defensive,United States,NYQ,32991172608.0
"Constellation Brands, Inc.",STZ,STZ,Consumer Defensive,United States,NYQ,32823482368.0
ResMed Inc.,RMD,RMD,Healthcare,United States,NYQ,32269619200.0
Ingersoll Rand Inc.,IR,IR,Industrials,United States,NYQ,32246640640.0
"IQVIA Holdings, Inc.",IQV,IQV,Healthcare,United States,NYQ,31988830208.0
Willis Towers Watson Public Lim,WTW,WTW,Financial Services,United Kingdom,NMS,31811909632.0
"DuPont de Nemours, Inc.",DD,DD,Basic Materials,United States,NYQ,31316051968.0
Extra Space Storage Inc,EXR,EXR,Real Estate,United States,NYQ,31985364992.0
Las Vegas Sands Corp.,LVS,LVS,Consumer Cyclical,United States,NYQ,30627696640.0
Lennar Corporation,LEN,LEN,Consumer Cyclical,United States,NYQ,30565824512.0
