Nom_Entreprise,Ticker,Ticker_Yahoo_Finance,Secteur_Activite,Pays,Place_Boursiere,Capitalisation_Boursiere
Sandvik AB,SAND,SAND.ST,Industrials,Sweden,STO,213998944256.0
Swedbank AB ser A,SWED-A,SWED-A.ST,Financial Services,Sweden,STO,217141346304.0
"Hennes & Mauritz AB, H & M ser.",HM-B,HM-B.ST,Consumer Cyclical,Sweden,STO,197352275968.0
Svenska Handelsbanken ser. A,SHB-A,SHB-A.ST,Financial Services,Sweden,STO,198263095296.0
SAAB AB ser. B,SAAB-B,SAAB-B.ST,Industrials,Sweden,STO,190448386048.0
Essity AB ser. B,ESSITY-B,ESSITY-B.ST,Consumer Defensive,Sweden,STO,191432687616.0
Alfa Laval AB,ALFA,ALFA.ST,Industrials,Sweden,STO,154583924736.0
Evolution AB,EVO,EVO.ST,Consumer Cyclical,Sweden,STO,144922656768.0
Telia Company AB,TELIA,TELIA.ST,Communication Services,Sweden,STO,133613101056.0
Tele2 AB ser. B,TEL2-B,TEL2-B.ST,Communication Services,Sweden,STO,86019768320.0
Svenska Cellulosa AB SCA ser. B,SCA-B,SCA-B.ST,Basic Materials,Sweden,STO,84877869056.0
Boliden AB,BOL,BOL.ST,Basic Materials,Sweden,STO,75737063424.0
"SKF, AB ser. B",SKF-B,SKF-B.ST,Industrials,Sweden,STO,73249964032.0
NIBE Industrier AB ser. B,NIBE-B,NIBE-B.ST,Industrials,Sweden,STO,61026439168.0
Getinge AB ser. B,GETI-B,GETI-B.ST,Healthcare,Sweden,STO,50143313920.0
"Electrolux, AB ser. B",ELUX-B,ELUX-B.ST,Consumer Cyclical,Sweden,STO,18430164992.0
Kinnevik AB ser. B,KINV-B,KINV-B.ST,Financial Services,Sweden,STO,17941561344.0
Sinch AB,SINCH,SINCH.ST,Communication Services,Sweden,STO,13728258048.0
Samhällsbyggnadsbo. i Norden A,SBB-B,SBB-B.ST,Real Estate,Sweden,STO,5145480704.0
ARGENX SE,ARGX,ARGX.BR,Healthcare,Netherlands,BRU,30915399680.0
KBC,KBC,KBC.BR,Financial Services,Belgium,BRU,30810828800.0
UCB,UCB,UCB.BR,Healthcare,Belgium,BRU,29198747648.0
AGEAS,AGS,AGS.BR,Financial Services,Belgium,BRU,9459510272.0
GBL,GBLB,GBLB.BR,Financial Services,Belgium,BRU,8193976320.0
D'IETEREN GROUP,DIE,DIE.BR,Consumer Cyclical,Belgium,BRU,7954927104.0
ELIA GROUP,ELI,ELI.BR,Utilities,Belgium,BRU,7837194752.0
SOFINA,SOF,SOF.BR,Financial Services,Belgium,BRU,7470243840.0
LOTUS BAKERIES,LOTB,LOTB.BR,Consumer Defensive,Belgium,BRU,6348352512.0
ACKERMANS V.HAAREN,ACKB,ACKB.BR,Industrials,Belgium,BRU,6117986816.0
SYENSQO,SYENS,SYENS.BR,Basic Materials,Belgium,BRU,5773809152.0
WAREHOUSES DE PAUW,WDP,WDP.BR,Real Estate,Belgium,BRU,4619295232.0
AZELIS GROUP NV,AZE,AZE.BR,Basic Materials,Belgium,BRU,3667680000.0
SOLVAY,SOLB,SOLB.BR,Basic Materials,Belgium,BRU,3159694848.0
AEDIFICA,AED,AED.BR,Real Estate,Belgium,BRU,2894571008.0
COFINIMMO,COFB,COFB.BR,Real Estate,Belgium,BRU,2288774912.0
UMICORE,UMI,UMI.BR,Industrials,Belgium,BRU,1905851008.0
MELEXIS,MELE,MELE.BR,Technology,Belgium,BRU,1862699008.0
MONTEA NV,MONT,MONT.BR,Real Estate,Belgium,BRU,1461002112.0
THALES,HO,HO.PA,Industrials,France,PAR,49749311488.0
CREDIT AGRICOLE,ACA,ACA.PA,Financial Services,France,PAR,47416692736.0
DASSAULT SYSTEMES,DSY,DSY.PA,Technology,France,PAR,41433362432.0
ENGIE,ENGI,ENGI.PA,Utilities,France,PAR,43748818944.0
ORANGE,ORA,ORA.PA,Communication Services,France,PAR,32241594368.0
SOCIETE GENERALE,GLE,GLE.PA,Financial Services,France,PAR,28832788480.0
LEGRAND,LR,LR.PA,Industrials,France,PAR,23320008704.0
VEOLIA ENVIRON.,VIE,VIE.PA,Industrials,France,PAR,22333571072.0
MICHELIN,ML,ML.PA,Non disponible,Non disponible,PAR,21384794112.0
CAPGEMINI,CAP,CAP.PA,Technology,France,PAR,21671895040.0
PUBLICIS GROUPE SA,PUB,PUB.PA,Communication Services,France,PAR,19843368960.0
STMICROELECTRONICS,STMPA,STMPA.PA,Technology,Netherlands,PAR,15815332864.0
BOUYGUES,EN,EN.PA,Industrials,France,PAR,13572424704.0
RENAULT,RNO,RNO.PA,Consumer Cyclical,France,PAR,12475825152.0
BUREAU VERITAS,BVI,BVI.PA,Industrials,France,PAR,11446091776.0
UNIBAIL-RODAMCO-WESTFIELD,URW,URW.PA,Real Estate,France,PAR,10182833152.0
EUROFINS SCIENT.,ERF,ERF.PA,Healthcare,Luxembourg,PAR,8798918656.0
ACCOR,AC,AC.PA,Consumer Cyclical,France,PAR,9291400192.0
CARREFOUR,CA,CA.PA,Consumer Defensive,France,PAR,8449150976.0
EDENRED,EDEN,EDEN.PA,Financial Services,France,PAR,6976525824.0
TELEPERFORMANCE,TEP,TEP.PA,Industrials,France,PAR,4867964928.0
Nordea Bank Abp,NDA-FI,NDA-FI.HE,Financial Services,Finland,HEL,35415719936.0
KONE Corporation,KNEBV,KNEBV.HE,Industrials,Finland,HEL,24462385152.0
Sampo Plc A,SAMPO,SAMPO.HE,Financial Services,Finland,HEL,21831340032.0
UPM-Kymmene Corporation,UPM,UPM.HE,Basic Materials,Finland,HEL,11824696320.0
Fortum Corporation,FORTUM,FORTUM.HE,Utilities,Finland,HEL,11345903616.0
Wärtsilä Corporation,WRT1V,WRT1V.HE,Industrials,Finland,HEL,8237382144.0
Kesko Corporation B,KESKOB,KESKOB.HE,Consumer Defensive,Finland,HEL,7216108544.0
Orion Corporation B,ORNBV,ORNBV.HE,Healthcare,Finland,HEL,7151806976.0
Elisa Corporation,ELISA,ELISA.HE,Communication Services,Finland,HEL,7147825152.0
Metso Oyj,METSO,METSO.HE,Industrials,Finland,HEL,6413492736.0
Stora Enso Oyj R,STERV,STERV.HE,Basic Materials,Finland,HEL,5989918720.0
Neste Corporation,NESTE,NESTE.HE,Energy,Finland,HEL,5712454144.0
Valmet Corporation,VALMT,VALMT.HE,Industrials,Finland,HEL,3916347136.0
Konecranes Plc,KCR,KCR.HE,Industrials,Finland,HEL,3879916544.0
Huhtamäki Oyj,HUH1V,HUH1V.HE,Consumer Cyclical,Finland,HEL,3146940672.0
Kemira Oyj,KEMIRA,KEMIRA.HE,Basic Materials,Finland,HEL,2792166656.0
Mandatum Oyj,MANTA,MANTA.HE,Financial Services,Finland,HEL,2566770688.0
Hiab Oyj,HIAB,HIAB.HE,,Finland,HEL,
Kojamo Plc,KOJAMO,KOJAMO.HE,Real Estate,Finland,HEL,2143974272.0
TietoEVRY Corporation,TIETO,TIETO.HE,Technology,Finland,HEL,1749600768.0
Qt Group Oyj,QTCOM,QTCOM.HE,Technology,Finland,HEL,1670740992.0
Kalmar Oyj B,KALMAR,KALMAR.HE,Industrials,Finland,HEL,1401461888.0
Outokumpu Oyj,OUT1V,OUT1V.HE,Basic Materials,Finland,HEL,1203116288.0
Nokian Tyres Plc,TYRES,TYRES.HE,Consumer Cyclical,Finland,HEL,836181568.0
Novo Nordisk B A/S,NOVO-B,NOVO-B.CO,Healthcare,Denmark,CPH,1853525327872.0
DSV A/S,DSV,DSV.CO,Industrials,Denmark,CPH,259379265536.0
Nordea Bank Abp,NDA-DK,NDA-DK.CO,Financial Services,Finland,CPH,266230562816.0
Novonesis (Novozymes A/S) B,NSIS-B,NSIS-B.CO,Basic Materials,Denmark,CPH,181549187072.0
Danske Bank A/S,DANSKE,DANSKE.CO,Financial Services,Denmark,CPH,156204646400.0
Coloplast B A/S,COLO-B,COLO-B.CO,Healthcare,Denmark,CPH,150274719744.0
A.P. Møller - Mærsk A A/S,MAERSK-A,MAERSK-A.CO,Industrials,Denmark,CPH,142683979776.0
A.P. Møller - Mærsk B A/S,MAERSK-B,MAERSK-B.CO,Industrials,Denmark,CPH,142933671936.0
ORSTED A/S,ORSTED,ORSTED.CO,Utilities,Denmark,CPH,112580952064.0
Carlsberg B A/S,CARL-B,CARL-B.CO,Consumer Defensive,Denmark,CPH,110080786432.0
Tryg A/S,TRYG,TRYG.CO,Financial Services,Denmark,CPH,87973134336.0
Vestas Wind Systems A/S,VWS,VWS.CO,Industrials,Denmark,CPH,82840576000.0
Genmab A/S,GMAB,GMAB.CO,Healthcare,Denmark,CPH,75761999872.0
Pandora A/S,PNDORA,PNDORA.CO,Consumer Cyclical,Denmark,CPH,65363472384.0
Rockwool A/S ser. B,ROCK-B,ROCK-B.CO,Industrials,Denmark,CPH,50120544256.0
Demant A/S,DEMANT,DEMANT.CO,Healthcare,Denmark,CPH,44179103744.0
Jyske Bank A/S,JYSK,JYSK.CO,Financial Services,Denmark,CPH,28739385344.0
Zealand Pharma A/S,ZEAL,ZEAL.CO,Healthcare,Denmark,CPH,27642087424.0
Ambu A/S,AMBU-B,AMBU-B.CO,Healthcare,Denmark,CPH,28317257728.0
ISS A/S,ISS,ISS.CO,Industrials,Denmark,CPH,25175506944.0
Royal UNIBREW A/S,RBREW,RBREW.CO,Consumer Defensive,Denmark,CPH,26490830848.0
NKT A/S,NKT,NKT.CO,Industrials,Denmark,CPH,22111793152.0
Sydbank A/S,SYDB,SYDB.CO,Financial Services,Denmark,CPH,17869715456.0
GN Store Nord A/S,GN,GN.CO,Healthcare,Denmark,CPH,12228579328.0
Bavarian Nordic A/S,BAVA,BAVA.CO,Healthcare,Denmark,CPH,10368223232.0
"CAIXABANK, S.A.",CABK,CABK.MC,Financial Services,Spain,MCE,41292705792.0
"AENA, S.M.E., S.A.",AENA,AENA.MC,Industrials,Spain,MCE,30900000768.0
"AMADEUS IT GROUP, S.A.",AMS,AMS.MC,Technology,Spain,MCE,27211911168.0
FERROVIAL SE,FER,FER.MC,Industrials,Netherlands,MCE,28939122688.0
"ENDESA,S.A.",ELE,ELE.MC,Utilities,Spain,MCE,24378406912.0
"TELEFONICA,S.A.",TEF,TEF.MC,Communication Services,Spain,MCE,23064125440.0
"NATURGY ENERGY GROUP, S.A.",NTGY,NTGY.MC,Utilities,Spain,MCE,22903898112.0
"CELLNEX TELECOM, S.A.",CLNX,CLNX.MC,Real Estate,Spain,MCE,22314487808.0
ARCELORMITTAL SA,MTS,MTS.MC,Basic Materials,Luxembourg,MCE,18090987520.0
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS,ACS.MC,Industrials,Spain,MCE,11477111808.0
"REPSOL,  S.A.",REP,REP.MC,Energy,Spain,MCE,11707304960.0
BANCO DE SABADELL,SAB,SAB.MC,Financial Services,Spain,MCE,11233334272.0
"REDEIA CORPORACION, S.A.",RED,RED.MC,Utilities,Spain,MCE,9797596160.0
Non disponible,PUIG.MC,PUIG.MC,Non disponible,Non disponible,Non disponible,
"MAPFRE, S.A.",MAP,MAP.MC,Financial Services,Spain,MCE,7913762816.0
"BANKINTER, S.A.",BKT,BKT.MC,Financial Services,Spain,MCE,7487776256.0
"ACCIONA, S.A.",ANA,ANA.MC,Industrials,Spain,MCE,5857840640.0
CORPORACI...N ACCIONA ENERG...A,ANE,ANE.MC,Utilities,Spain,MCE,4920430080.0
"MERLIN PROPERTIES SOCIMI, S.A.",MRL,MRL.MC,Real Estate,Spain,MCE,4847973888.0
GRIFOLS S.A.,GRF,GRF.MC,Healthcare,Spain,MCE,4736209408.0
"INDRA SISTEMAS S.A., SERIE A",IDR,IDR.MC,Technology,Spain,MCE,4195047168.0
"UNICAJA BANCO, S.A.",UNI,UNI.MC,Financial Services,Spain,MCE,3640528128.0
COMPA...IA DE DISTRIBUCION INTE,LOG,LOG.MC,Industrials,Spain,MCE,3547975424.0
"FLUIDRA, S.A.",FDR,FDR.MC,Industrials,Spain,MCE,3538412288.0
"ENAGAS,S.A.",ENG,ENG.MC,Utilities,Spain,MCE,3317994752.0
"INMOBILIARIA COLONIAL, SOCIMI S",COL,COL.MC,Real Estate,Spain,MCE,3160911360.0
LABORATORIOS FARMACEUTICOS ROVI,ROVI,ROVI.MC,Healthcare,Spain,MCE,2424296704.0
"SACYR, S.A.",SCYR,SCYR.MC,Industrials,Spain,MCE,2172626944.0
"ACERINOX, S.A.",ACX,ACX.MC,Basic Materials,Spain,MCE,2162061568.0
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR,SLR.MC,Utilities,Spain,MCE,785691904.0
GENERALI,G,G.MI,Financial Services,Italy,MIL,46616039424.0
STELLANTIS,STLAM,STLAM.MI,Consumer Cyclical,Netherlands,MIL,25682847744.0
LEONARDO,LDO,LDO.MI,Industrials,Italy,MIL,23980873728.0
POSTE ITALIANE,PST,PST.MI,Industrials,Italy,MIL,20336791552.0
TENARIS,TEN,TEN.MI,Energy,Luxembourg,MIL,16542060544.0
TERNA,TRN,TRN.MI,Utilities,Italy,MIL,16947144704.0
SNAM,SRG,SRG.MI,Utilities,Italy,MIL,16040328192.0
STMICROELECTRONICS,STMMI,STMMI.MI,Technology,Netherlands,MIL,15481384960.0
MONCLER,MONC,MONC.MI,Consumer Cyclical,Italy,MIL,13857073152.0
PRYSMIAN,PRY,PRY.MI,Industrials,Italy,MIL,12755025920.0
BANCO BPM,BAMI,BAMI.MI,Financial Services,Italy,MIL,12622711808.0
MEDIOBANCA,MB,MB.MI,Financial Services,Italy,MIL,12742661120.0
RECORDATI ORD,REC,REC.MI,Healthcare,Italy,MIL,10078665728.0
FINECOBANK,FBK,FBK.MI,Financial Services,Italy,MIL,9899834368.0
BANCA MEDIOLANUM,BMED,BMED.MI,Financial Services,Italy,MIL,9753530368.0
INWIT,INW,INW.MI,Real Estate,Italy,MIL,8831716352.0
BPER BANCA,BPE,BPE.MI,Financial Services,Italy,MIL,8972863488.0
BANCA MONTE PASCHI SIENA,BMPS,BMPS.MI,Financial Services,Italy,MIL,8301116416.0
BUZZI,BZU,BZU.MI,Basic Materials,Italy,MIL,7562905088.0
A2A,A2A,A2A.MI,Utilities,Italy,MIL,6760112128.0
TELECOM ITALIA,TIT,TIT.MI,Communication Services,Italy,MIL,6657700864.0
CAMPARI,CPR,CPR.MI,Consumer Defensive,Italy,MIL,6323032576.0
BRUNELLO CUCINELLI,BC,BC.MI,Consumer Cyclical,Italy,MIL,6166484480.0
HERA,HER,HER.MI,Utilities,Italy,MIL,5664600064.0
ITALGAS,IG,IG.MI,Utilities,Italy,MIL,5372848640.0
NEXI,NEXI,NEXI.MI,Technology,Italy,MIL,5624761344.0
PIRELLI & C,PIRC,PIRC.MI,Consumer Cyclical,Italy,MIL,5057398784.0
DIASORIN,DIA,DIA.MI,Healthcare,Italy,MIL,4811941376.0
IVECO GROUP,IVG,IVG.MI,Industrials,Italy,MIL,3495532288.0
BCA POP SONDRIO,BPSO,BPSO.MI,Financial Services,Italy,MIL,4354292224.0
AMPLIFON,AMP,AMP.MI,Healthcare,Italy,MIL,4035658496.0
SAIPEM,SPM,SPM.MI,Energy,Italy,MIL,3531839744.0
INTERPUMP GROUP,IP,IP.MI,Industrials,Italy,MIL,3111640832.0
AZIMUT,AZM,AZM.MI,Financial Services,Italy,MIL,3272460800.0
RHEINMETALL AG                I,RHM,RHM.DE,Industrials,Germany,GER,49561960448.0
Siemens Healthineers AG       N,SHL,SHL.DE,Healthcare,Germany,GER,47423467520.0
Dr. Ing. h.c. F. Porsche AG   I,P911,P911.DE,Consumer Cyclical,Germany,GER,37733617664.0
Siemens Energy AG             N,ENR,ENR.DE,Industrials,Germany,GER,36546519040.0
E.ON SE                       N,EOAN,EOAN.DE,Utilities,Germany,GER,35237384192.0
DEUTSCHE BANK AG              N,DBK,DBK.DE,Financial Services,Germany,GER,33936306176.0
HANNOVER RUECK SE NA O.N.,HNR1,HNR1.DE,Financial Services,Germany,GER,29932175360.0
Henkel AG & Co. KGaA          I,HEN3,HEN3.DE,Consumer Defensive,Germany,GER,27326724096.0
Heidelberg Materials AG       I,HEI,HEI.DE,Basic Materials,Germany,GER,24971419648.0
BEIERSDORF AG                 I,BEI,BEI.DE,Consumer Defensive,Germany,GER,25714251776.0
Daimler Truck Holding AG      N,DTG,DTG.DE,Industrials,Germany,GER,24883867648.0
Commerzbank AG                I,CBK,CBK.DE,Financial Services,Germany,GER,21566365696.0
RWE AG                        I,RWE,RWE.DE,Utilities,Germany,GER,22832455680.0
Vonovia SE                    N,VNA,VNA.DE,Real Estate,Germany,GER,20892237824.0
Fresenius SE & Co. KGaA       I,FRE,FRE.DE,Healthcare,Germany,GER,20175149056.0
MTU Aero Engines AG           N,MTX,MTX.DE,Industrials,Germany,GER,14027179008.0
Symrise AG                    I,SY1,SY1.DE,Basic Materials,Germany,GER,12861818880.0
Fresenius Medical Care AG     I,FME,FME.DE,Healthcare,Germany,GER,12405500928.0
CONTINENTAL AG                I,CON,CON.DE,Consumer Cyclical,Germany,GER,11400341504.0
SARTORIUS AG                  V,SRT3,SRT3.DE,Healthcare,Germany,GER,10873180160.0
Porsche Automobil Holding SE  I,PAH3,PAH3.DE,Consumer Cyclical,Germany,GER,9628499968.0
Brenntag SE                   N,BNR,BNR.DE,Basic Materials,Germany,GER,7646628864.0
Zalando SE                    I,ZAL,ZAL.DE,Consumer Cyclical,Germany,GER,7337923584.0
Qiagen N.V.                   A,QIA,QIA.DE,Healthcare,Netherlands,GER,7708857344.0
TOYOTA MOTOR CORP,7203,7203.T,Consumer Cyclical,Japan,JPX,29579865489408.0
SONY GROUP CORPORATION,6758,6758.T,Technology,Japan,JPX,18123539349504.0
MITSUBISHI UFJ FINANCIAL GROUP ,8306,8306.T,Financial Services,Japan,JPX,17207969972224.0
FAST RETAILING CO LTD,9983,9983.T,Consumer Cyclical,Japan,JPX,12777387196416.0
HITACHI,6501,6501.T,Industrials,Japan,JPX,12330519756800.0
KEYENCE CORP,6861,6861.T,Technology,Japan,JPX,12269339541504.0
NIPPON TEL & TEL CORP,9432,9432.T,Communication Services,Japan,JPX,11492348919808.0
SUMITOMO MITSUI FINANCIAL GROUP,8316,8316.T,Financial Services,Japan,JPX,11118911160320.0
NINTENDO CO LTD,7974,7974.T,Communication Services,Japan,JPX,10704114417664.0
CHUGAI PHARMACEUTICAL CO,4519,4519.T,Healthcare,Japan,JPX,10518228107264.0
RECRUIT HOLDINGS CO LTD,6098,6098.T,Communication Services,Japan,JPX,9833001517056.0
MITSUBISHI CORP,8058,8058.T,Industrials,Japan,JPX,9280800423936.0
SOFTBANK CORP.,9434,9434.T,Communication Services,Japan,JPX,9389705527296.0
TOKIO MARINE HOLDINGS INC,8766,8766.T,Financial Services,Japan,JPX,8684808175616.0
SOFTBANK GROUP CORP,9984,9984.T,Communication Services,Japan,JPX,8403800293376.0
KDDI CORPORATION,9433,9433.T,Communication Services,Japan,JPX,9208979259392.0
ITOCHU CORP,8001,8001.T,Industrials,Japan,JPX,8562033557504.0
TOKYO ELECTRON,8035,8035.T,Technology,Japan,JPX,7814776356864.0
MIZUHO FINANCIAL GROUP,8411,8411.T,Financial Services,Japan,JPX,7340141051904.0
MITSUBISHI HEAVY INDUSTRIES,7011,7011.T,Industrials,Japan,JPX,6935102357504.0
SHIN-ETSU CHEMICAL CO,4063,4063.T,Basic Materials,Japan,JPX,6955720507392.0
MITSUI & CO,8031,8031.T,Industrials,Japan,JPX,7097964560384.0
JAPAN TOBACCO INC,2914,2914.T,Consumer Defensive,Japan,JPX,6834246123520.0
TAKEDA PHARMACEUTICAL CO LTD,4502,4502.T,Healthcare,Japan,JPX,6611410616320.0
DAIICHI SANKYO COMPANY LIMITED,4568,4568.T,Healthcare,Japan,JPX,6308549885952.0
HONDA MOTOR CO,7267,7267.T,Consumer Cyclical,Japan,JPX,5454444888064.0
HOYA CORP,7741,7741.T,Healthcare,Japan,JPX,5027296968704.0
MITSUBISHI ELECTRIC CORP,6503,6503.T,Industrials,Japan,JPX,4732790243328.0
SEVEN & I HOLDINGS CO LTD,3382,3382.T,Consumer Defensive,Japan,JPX,4800398753792.0
FUJITSU,6702,6702.T,Technology,Japan,JPX,4682474323968.0
ORIENTAL LAND CO,4661,4661.T,Consumer Cyclical,Japan,JPX,4738031026176.0
DAIKIN INDUSTRIES,6367,6367.T,Industrials,Japan,JPX,4438802563072.0
DENSO CORP,6902,6902.T,Consumer Cyclical,Japan,JPX,4633741230080.0
MS&AD INS GP HLDGS,8725,8725.T,Financial Services,Japan,JPX,3893787099136.0
JAPAN POST HLDGS CO LTD,6178,6178.T,Financial Services,Japan,JPX,3642541998080.0
SOMPO HOLDINGS INC,8630,8630.T,Financial Services,Japan,JPX,3603956498432.0
ADVANTEST CORP,6857,6857.T,Technology,Japan,JPX,3693541326848.0
CANON INC,7751,7751.T,Technology,Japan,JPX,3704018698240.0
TERUMO CORP,4543,4543.T,Healthcare,Japan,JPX,3943198359552.0
OTSUKA HLDGS CO LTD,4578,4578.T,Healthcare,Japan,JPX,3848808431616.0
NEC CORP,6701,6701.T,Technology,Japan,JPX,3558335840256.0
BRIDGESTONE CORP,5108,5108.T,Consumer Cyclical,Japan,JPX,3602190958592.0
SUMITOMO CORP,8053,8053.T,Industrials,Japan,JPX,3467197808640.0
MURATA MANUFACTURING CO,6981,6981.T,Technology,Japan,JPX,3470507900928.0
MITSUI FUDOSAN,8801,8801.T,Real Estate,Japan,JPX,3546022150144.0
KOMATSU,6301,6301.T,Industrials,Japan,JPX,3349913010176.0
LY CORPORATION,4689,4689.T,Consumer Cyclical,Japan,JPX,3372537085952.0
MARUBENI CORP,8002,8002.T,Industrials,Japan,JPX,3247832301568.0
PANASONIC HOLDINGS CORP,6752,6752.T,Technology,Japan,JPX,3289437175808.0
DAI-ICHI LIFE HOLDINGS INC,8750,8750.T,Financial Services,Japan,JPX,3092433076224.0
NTT DATA GROUP CORPORATION,9613,9613.T,Technology,Japan,JPX,3350995140608.0
EAST JAPAN RAILWAY CO,9020,9020.T,Industrials,Japan,JPX,3329336803328.0
FANUC CORPORATION,6954,6954.T,Industrials,Japan,JPX,2941651255296.0
FUJIFILM HOLDINGS CORPORATION,4901,4901.T,Industrials,Japan,JPX,3124674691072.0
SUZUKI MOTOR CORP,7269,7269.T,Consumer Cyclical,Japan,JPX,3029934276608.0
SMC CORP,6273,6273.T,Industrials,Japan,JPX,2904349212672.0
AEON CO LTD,8267,8267.T,Consumer Cyclical,Japan,JPX,3169960067072.0
DAIWA HOUSE INDUSTRY CO,1925,1925.T,Real Estate,Japan,JPX,2949010161664.0
ORIX CORPORATION,8591,8591.T,Financial Services,Japan,JPX,2983582498816.0
BANDAI NAMCO HOLDINGS INC,7832,7832.T,Consumer Cyclical,Japan,JPX,2865829511168.0
NIPPON STEEL CORPORATION,5401,5401.T,Basic Materials,Japan,JPX,2866461016064.0
KAO CORP,4452,4452.T,Consumer Defensive,Japan,JPX,2833358520320.0
DISCO CORPORATION,6146,6146.T,Technology,Japan,JPX,2557531914240.0
MITSUBISHI ESTATE CO,8802,8802.T,Real Estate,Japan,JPX,2786011381760.0
RENESAS ELECTRONICS CORP,6723,6723.T,Technology,Japan,JPX,2476782649344.0
CENTRAL JAPAN RAILWAY CO,9022,9022.T,Industrials,Japan,JPX,2744853987328.0
ASAHI GROUP HLDGS,2502,2502.T,Consumer Defensive,Japan,JPX,2780272525312.0
AJINOMOTO CO INC,2802,2802.T,Consumer Defensive,Japan,JPX,2651369766912.0
NOMURA RESEARCH INSTITUTE,4307,4307.T,Technology,Japan,JPX,2701504544768.0
NIDEC CORPORATION,6594,6594.T,Industrials,Japan,JPX,2190055964672.0
TDK CORP,6762,6762.T,Technology,Japan,JPX,2242916122624.0
SUMITOMO REALTY & DEVELOPMENT C,8830,8830.T,Real Estate,Japan,JPX,2309577768960.0
ASTELLAS PHARMA,4503,4503.T,Healthcare,Japan,JPX,2329840975872.0
TOYOTA TSUSHO CORP,8015,8015.T,Industrials,Japan,JPX,2239603933184.0
NOMURA HOLDINGS INC.,8604,8604.T,Financial Services,Japan,JPX,2085548851200.0
KONAMI GROUP CORPORATION,9766,9766.T,Communication Services,Japan,JPX,2267190657024.0
RESONA HOLDINGS,8308,8308.T,Financial Services,Japan,JPX,2081982251008.0
SUMITOMO MITSUI TRUST GP INC,8309,8309.T,Financial Services,Japan,JPX,2118275563520.0
KYOCERA CORP,6971,6971.T,Industrials,Japan,JPX,2192014966784.0
SECOM CO,9735,9735.T,Industrials,Japan,JPX,2089515614208.0
INPEX CORPORATION,1605,1605.T,Energy,Japan,JPX,2034722406400.0
OLYMPUS CORPORATION,7733,7733.T,Healthcare,Japan,JPX,1848962580480.0
NIPPON YUSEN KABUSHIKI KAISHA,9101,9101.T,Industrials,Japan,JPX,1837127565312.0
SHIONOGI & CO,4507,4507.T,Healthcare,Japan,JPX,1917020930048.0
SEKISUI HOUSE,1928,1928.T,Consumer Cyclical,Japan,JPX,1946229276672.0
ENEOS HOLDINGS INC,5020,5020.T,Energy,Japan,JPX,1656240209920.0
KUBOTA CORP,6326,6326.T,Industrials,Japan,JPX,1716069203968.0
TOKYO GAS CO,9531,9531.T,Utilities,Japan,JPX,1670596132864.0
KANSAI ELECTRIC POWER CO INC,9503,9503.T,Utilities,Japan,JPX,1727891636224.0
NITTO DENKO CORP,6988,6988.T,Basic Materials,Japan,JPX,1625425969152.0
SUBARU CORPORATION,7270,7270.T,Consumer Cyclical,Japan,JPX,1664564330496.0
NITORI HOLDINGS CO LTD,9843,9843.T,Consumer Cyclical,Japan,JPX,1681618501632.0
MITSUI O.S.K. LINES LTD,9104,9104.T,Industrials,Japan,JPX,1582000898048.0
RAKUTEN GROUP INC,4755,4755.T,Consumer Cyclical,Japan,JPX,1532555952128.0
KIRIN HOLDINGS COMPANY LIMITED,2503,2503.T,Consumer Defensive,Japan,JPX,1630112841728.0
SUMITOMO ELECTRIC INDUSTRIES,5802,5802.T,Consumer Cyclical,Japan,JPX,1364758495232.0
NEXON CO LTD,3659,3659.T,Communication Services,Japan,JPX,1548480282624.0
JAPAN EXCHANGE GROUP,8697,8697.T,Financial Services,Japan,JPX,1449825271808.0
TORAY INDUSTRIES INC,3402,3402.T,Consumer Cyclical,Japan,JPX,1366813966336.0
IHI CORPORATION,7013,7013.T,Industrials,Japan,JPX,1335769694208.0
KAJIMA CORP,1812,1812.T,Industrials,Japan,JPX,1295016787968.0
T&D HOLDINGS INC,8795,8795.T,Financial Services,Japan,JPX,1277910188032.0
WEST JAPAN RAILWAY CO,9021,9021.T,Industrials,Japan,JPX,1326756397056.0
OBAYASHI CORP,1802,1802.T,Industrials,Japan,JPX,1290304225280.0
KIKKOMAN CORP,2801,2801.T,Consumer Defensive,Japan,JPX,1275248508928.0
OSAKA GAS CO,9532,9532.T,Utilities,Japan,JPX,1263782854656.0
TOHO CO LTD,9602,9602.T,Communication Services,Japan,JPX,1210974208000.0
ASAHI KASEI CORP,3407,3407.T,Basic Materials,Japan,JPX,1227831115776.0
ZOZO INC,3092,3092.T,Consumer Cyclical,Japan,JPX,1221371887616.0
ANA HOLDINGS INC,9202,9202.T,Industrials,Japan,JPX,1202471960576.0
TREND MICRO INC,4704,4704.T,Technology,Japan,JPX,1194802675712.0
KAWASAKI HEAVY INDUSTRIES,7012,7012.T,Industrials,Japan,JPX,1035608653824.0
CHUBU ELECTRIC POWER CO INC,9502,9502.T,Utilities,Japan,JPX,1172113850368.0
IDEMITSU KOSAN CO.LTD,5019,5019.T,Energy,Japan,JPX,1083555774464.0
ISUZU MOTORS,7202,7202.T,Consumer Cyclical,Japan,JPX,1195894767616.0
FUJIKURA,5803,5803.T,Industrials,Japan,JPX,991308677120.0
